iter	Passed	Remaining
400	18359	65198
401	18411	65174
402	18461	65143
403	18512	65115
404	18563	65085
405	18610	65045
406	18659	65011
407	18713	64991
408	18771	64988
409	18818	64948
410	18859	64884
411	18909	64851
412	18956	64808
413	19001	64762
414	19049	64720
415	19096	64681
416	19140	64629
417	19193	64605
418	19267	64655
419	19329	64662
420	19378	64624
421	19428	64591
422	19479	64564
423	19524	64513
424	19585	64517
425	19632	64474
426	19674	64412
427	19722	64373
428	19784	64381
429	19837	64356
430	19886	64318
431	19936	64287
432	19988	64257
433	20032	64207
434	20076	64153
435	20127	64122
436	20170	64067
437	20225	64046
438	20278	64021
439	20324	63974
440	20366	63916
441	20418	63889
442	20467	63852
443	20512	63800
444	20560	63760
445	20606	63714
446	20654	63674
447	20703	63634
448	20749	63588
449	20795	63541
450	20847	63512
451	20895	63471
452	20942	63428
453	20992	63394
454	21042	63360
455	21089	63316
456	21134	63266
457	21180	63218
458	21230	63181
459	21275	63131
460	21327	63104
461	21374	63059
462	21418	63007
463	21470	62976
464	21516	62930
465	21563	62887
466	21610	62841
467	21656	62795
468	21706	62758
469	21733	62656
470	21787	62634
471	21840	62605
472	21883	62552
473	21935	62520
474	21980	62471
475	22025	62422
476	22072	62377
477	22115	62320
478	22163	62280
479	22213	62245
480	22262	62205
481	22311	62165
482	22360	62128
483	22405	62077
484	22452	62034
485	22503	62000
486	22551	61959
487	22598	61912
488	22642	61861
489	22690	61819
490	22737	61776
491	22795	61760
492	22839	61708
493	22890	61674
494	22939	61636
495	22990	61600
496	23038	61560
497	23084	61512
498	23127	61456
499	23179	61425
500	23231	61394
501	23281	61356
502	23329	61315
503	23381	61282
504	23432	61248
505	23481	61208
506	23530	61170
507	23576	61123
508	23621	61073
509	23674	61042
510	23722	61001
511	23772	60962
512	23825	60934
513	23872	60887
514	23917	60839
515	23971	60811
516	24018	60765
517	24065	60721
518	24115	60683
519	24159	60630
520	24207	60588
521	24252	60539
522	24298	60489
523	24344	60444
524	24394	60405
525	24444	60366
526	24494	60329
527	24544	60292
528	24594	60254
529	24641	60208
530	24690	60169
531	24739	60127
532	24786	60082
533	24837	60047
534	24888	60012
535	24940	59979
536	24987	59932
537	25040	59902
538	25089	59861
539	25141	59826
540	25191	59788
541	25242	59752
542	25290	59710
543	25337	59663
544	25385	59621
545	25431	59572
546	25481	59534
547	25527	59486
548	25569	59430
549	25617	59386
550	25669	59352
551	25719	59314
552	25770	59276
553	25822	59241
554	25870	59199
555	25921	59162
556	25973	59129
557	26024	59091
558	26073	59049
559	26120	59004
560	26174	58973
561	26218	58922
562	26262	58867
563	26312	58829
564	26353	58771
565	26402	58729
566	26455	58697
567	26499	58645
568	26545	58596
569	26592	58549
570	26642	58510
571	26690	58466
572	26741	58430
573	26791	58390
574	26838	58343
575	26879	58285
576	26926	58240
577	26967	58180
578	27016	58139
579	27063	58092
580	27109	58045
581	27157	58002
582	27204	57954
583	27252	57911
584	27297	57860
585	27345	57817
586	27390	57767
587	27443	57733
588	27494	57695
589	27548	57664
590	27605	57639
591	27656	57602
592	27708	57567
593	27759	57528
594	27799	57467
595	27847	57424
596	27892	57373
597	27940	57329
598	27988	57285
599	28032	57233
600	28080	57189
601	28128	57145
602	28175	57098
603	28224	57055
604	28277	57022
605	28326	56981
606	28371	56930
607	28423	56894
608	28474	56856
609	28525	56816
610	28574	56775
611	28622	56731
612	28671	56687
613	28719	56644
614	28772	56608
615	28820	56564
616	28863	56510
617	28910	56464
618	28956	56416
619	29000	56363
620	29050	56323
621	29103	56288
622	29150	56242
623	29200	56201
624	29246	56154
625	29298	56115
626	29348	56075
627	29398	56035
628	29445	55987
629	29506	55969
630	29564	55942
631	29619	55912
632	29682	55895
633	29737	55862
634	29786	55820
635	29843	55792
636	29897	55758
637	29952	55726
638	30008	55696
639	30063	55664
640	30116	55629
641	30167	55589
642	30228	55568
643	30286	55540
644	30345	55516
645	30402	55487
646	30445	55431
647	30494	55389
648	30540	55339
649	30590	55297
650	30635	55246
651	30680	55197
652	30732	55158
653	30784	55119
654	30832	55075
655	30880	55028
656	30924	54976
657	30972	54932
658	31013	54874
659	31059	54823
660	31102	54769
661	31150	54725
662	31192	54670
663	31238	54619
664	31282	54568
665	31322	54509
666	31374	54471
667	31423	54426
668	31472	54383
669	31521	54339
670	31566	54288
671	31613	54241
672	31661	54196
673	31705	54143
674	31752	54096
675	31801	54053
676	31849	54008
677	31893	53954
